,Predicted Gas Emissions,Predicted Coal Emissions,Predicted Hydropower,Predicted Solarpower,Predicted Oil Power,Predicted Result,Year
0,23.57793065556595,23.080313486990967,284.36008349049075,9.036116369714058,30.033444280736695,17.099355018619413,2019
1,22.639109160986635,23.048139909294882,292.9294909535645,9.035059106483153,30.00590133015121,17.1141648710854,2020
2,22.297033455458376,22.506124893215933,300.94454374897464,9.034454235754005,30.10320397559608,17.069099434573168,2021
3,22.29675395929641,23.043547490624228,283.41461935627444,9.034620327065262,30.373923891224514,17.13290231015157,2022
4,22.413826429782574,22.66869644263152,295.48833933460696,9.104010363230977,30.55739238206352,17.203571678061003,2023
5,22.52258493149108,24.58474389651183,304.3767231999634,9.127989036152634,30.650340252556454,17.114611388105864,2024
6,22.649672241447632,23.61704222300414,298.1002468167542,9.191147034178051,30.440691971220623,17.0071255647726,2025
7,22.747163110910122,25.356299558666983,288.7193883954285,9.25855104357985,30.068057619967114,16.894556299705023,2026
8,23.005387180982297,24.401082256821432,290.883169084668,9.310561076859507,29.6605842346331,16.775995821613783,2027
9,23.360168898044293,23.689499238518515,291.79779329884036,9.406828993121657,29.29588308278526,16.701907114047522,2028
10,23.76655938619203,25.56645915844802,276.71550551044925,9.449238908598694,28.87617566529716,16.629224398095126,2029
11,24.30035527938432,24.282089212921896,287.3026913701294,9.50385158241776,28.493637167849194,16.507454165179247,2030
12,24.79330542081422,24.71092228033904,289.73241940128787,9.608806138048443,28.14418249670471,16.365647368986124,2031
13,25.058229619203274,24.551945487049856,296.81129065144046,9.719964710185799,27.82915201131309,16.232628040868754,2032
14,25.149603845117753,23.812542358425894,286.95667639362796,9.80973095924643,27.718346924521576,16.1337821343131,2033
15,25.23297448599166,25.356372633961477,299.25316229450686,9.892524999687943,27.80890105012859,16.110529293227906,2034
16,25.011639745472138,25.29922067188982,286.62961950886233,9.931333144316945,27.971717336215626,16.128517963845248,2035
17,24.972139713851874,26.63030218147997,301.88814249622806,10.063267027149472,28.066570104100357,16.16078713621568,2036
18,24.604408410875266,26.111039211986103,304.5065764485596,10.12251455069569,28.12566629517878,16.23097169484567,2037
19,24.27989765772051,25.74270536565546,302.87073209869845,10.238008354912076,28.237451438792597,16.290541560310835,2038
20,23.996895787803595,25.664852676925697,294.9712708293198,10.27829447493938,28.326066252776037,16.328545351434464,2039
21,23.684653428880637,24.1347115617371,292.9107709227799,10.414592013815913,28.373822064139496,16.342178261760587,2040
22,23.55595867106146,25.90995591693882,290.4964206515549,10.68466980860618,28.362644718960475,16.29640340704095,2041
23,23.358510119406645,24.962180016574898,269.4692752658127,10.88991692767528,28.141686843708705,16.27011820386719,2042
24,23.145707455961173,24.28930800968174,277.9076869784592,11.222190023521456,27.677207814530085,16.185195972133393,2043
25,23.164223700327938,24.796041307983437,272.3625743685959,11.625690044025454,27.201294468716334,16.03357564370703,2044
26,23.316935270590847,25.273128984508553,281.23705938446506,12.221532643894228,26.678600238636683,15.955519338060135,2045
27,23.558091133399074,25.76542705112461,267.7608821688889,13.20856249437717,26.14912621863241,15.844809879470581,2046
28,23.935869782729213,25.60590758734707,273.63054779160007,14.678646446327242,25.77006994374151,15.666558702398056,2047
29,24.31365376667506,25.64231139608983,274.02340942609294,16.605718494514498,25.545059354976367,15.476933543492073,2048
