"","Year","China","United.States","India","Indonesia","Russia","Brazil","Japan","Canada","Germany","South.Korea"
"79",1960,3.711988051,15.88461176,0.7447106768,0.06101634123,24.49286376,0.2018807541,4.223354954,4.980295819,25.9821791,1.718736094
"80",1961,2.174311891,15.15985929,0.7783470631,0.04958394231,24.16156587,0.2011074971,4.458151224,4.705884457,26.25292349,1.835681295
"81",1962,2.137854096,15.60554025,0.8357645264,0.0415150698,24.43119552,0.2049142185,4.403806264,4.57660143299999,26.33667589,2.25934989499999
"82",1963,2.099103665,16.70552895,0.884364009499999,0.0506159317,24.77685564,0.224376414,4.168949982,4.49389131,26.62152819,2.619602518
"83",1964,2.386084425,17.43254902,0.8235551653,0.03735397031,25.48372061,0.230464732099999,4.031934186,4.743325106,26.6187424,2.779344843
"84",1965,2.405314842,18.00652971,0.8709553325,0.02199417154,26.39257715,0.2350498468,3.876283023,4.78657433,25.1956181499999,2.889150949
"85",1966,2.565987985,18.51316151,0.8646114322,0.02527589896,26.7149846,0.2671994245,3.96800862199999,4.579397398,23.90337502,3.197883054
"86",1967,1.734394321,18.95453212,0.8516580193,0.01591189066,27.13024585,0.3078117206,3.623363214,4.468101757,22.0563212,3.347854738
"87",1968,2.229901218,18.52258886,0.8710289133,0.01316665522,27.08672974,0.3335543116,3.507731671,4.392577887,22.19712221,2.69791742699999
"88",1969,2.350886784,18.83069651,0.9067882047,0.01398095477,27.5984997,0.3451479582,3.31983265,4.159938572,22.4405619,2.650155656
"89",1970,2.537090139,20.04796991,0.864203598,0.01219362299,28.10284722,0.339441677,2.90774523499999,6.50711078,22.54926103,3.132620428
"90",1971,2.68124456,18.02115491,0.8243911902,0.01366935808,28.66196703,0.3627228536,2.413713792,6.91584098,22.35769398,3.167101493
"91",1972,2.685810097,19.20278207,0.8449785098,0.01203737714,26.63005769,0.3659719561,1.999193195,7.561427935,21.19260553,3.012460893
"92",1973,2.823771484,18.93180878,0.8504098237,0.009763253188,27.01761526,0.3394564199,1.57223345999999,8.201284721,20.85368225,3.233806138
"93",1974,2.894714627,19.11542754,0.8949025682,0.009963470054,27.56354428,0.3270213022,1.406955022,8.328870147,20.7452194,0.295547637599999
"94",1975,2.966470919,20.34016894,0.9943406284,0.01282889555,28.04123128,0.3667930108,1.298142667,9.64273120899999,20.95544043,4.047435775
"95",1976,2.97761921,21.1044327,1.025928703,0.01172453492,28.3544340899999,0.4470892124,1.2427899,9.817445517,21.1933135799999,3.720060677
"96",1977,3.217975537,21.30173216,0.9957979891,0.01369459666,28.52967383,0.5568025995,1.220426716,10.96458864,20.66168732,3.853417811
"97",1978,3.568088641,20.0087745,0.9853155161,0.0152789318,28.42337643,0.6396143252,1.258264909,11.36372705,20.57062555,3.972604193
"98",1979,3.618533836,23.44342056,0.9794416945,0.01576732768,27.95367203,0.7371173885,1.15884458,12.14445336,21.20308937,3.95109834
"99",1980,3.315400146,21.52066159,0.8178847763,0.0275864465099999,23.31867957,0.1943923457,1.069780548,9.755399932,18.51631647,2.324283795
"100",1981,3.279087342,21.06548727,0.9034506132,0.03281350208,22.73784493,0.2073506526,1.000702351,10.51420405,18.90527413,2.443431786
"101",1982,3.465467367,21.16563699,0.921739804599999,0.02767524118,22.93861077,0.225137452,0.9443833968,11.11277739,19.25020956,2.43813602
"102",1983,3.663601806,19.4015603999999,0.9431067165,0.03025595695,22.63976456,0.2312541742,0.91427845,11.49601123,18.80732851,2.372561929
"103",1984,3.984844394,21.97570155,1.090471892,0.06773406389,22.725054,0.2542272313,0.8986972198,14.57217695,19.06884717,2.518087669
"104",1985,4.083765234,21.3353291,1.09942726199999,0.09139279014,22.95651398,0.2483551963,0.8760995128,15.37444938,19.6677826,2.623227984
"105",1986,4.117750583,21.33724903,1.175200871,0.118289182499999,23.5308846,0.2320828741,0.699756182,14.32766993,19.30982406,2.790704521
"106",1987,4.202531521,21.82123327,1.156072077,0.134136772299999,23.63215434,0.2049319632,0.662339253,15.02293415,18.657935,2.764881145
"107",1988,4.363870414,22.25561185,1.21376402699999,0.1721551339,23.77351577,0.2171142107,0.6254879327,17.02476104,18.3672579,2.740962432
"108",1989,4.623177661,22.69065716,1.228610279,0.3535975992,22.67508084,0.1852449907,0.5666763038,16.91894662,17.88130958,2.322632224
"109",1990,4.659832035,23.6431419199999,1.271442111,0.4133404473,24.6388619399999,0.1154450611,0.5092696157,16.30220696,17.0409967099999,1.904766646
"110",1991,4.659876408,22.51699287,1.356030308,0.5313124638,19.1297604,0.127708744999999,0.4302521849,16.85257642,13.2437325299999,1.648437361
"111",1992,4.734426665,22.33611556,1.400474635,0.851569019199999,9.656451244,0.1079682164,0.3857444588,15.18511837,12.12041352,1.29594234
"112",1993,4.844336905,20.70496832,1.41420233699999,1.098870681,8.74889983,0.106332501,0.3541872457,15.8442033,11.12745687,1.011123281
"113",1994,5.121734974,22.374398,1.440659849,1.190205386,7.851331452,0.1140640765,0.3108850501,16.72549734,10.53613082,0.7878119707
"114",1995,5.223693858,22.04704505,1.76831532199999,1.542826611,7.633809743,0.1070362599,0.2905620562,17.20118925,10.11795204,0.5994756755
"115",1996,5.417943144,22.43632735,1.554465523,1.794378264,7.732425967,0.09678795943,0.2829926178,17.23306809,9.112968696,0.5136796716
"116",1997,6.024901015,22.67704476,1.594376671,1.843236277,7.049627799,0.1104123815,0.1909440213,18.53819344,9.204160834,0.4868015759
"117",1998,6.050601452,23.09549809,1.58875760799999,2.054517133,6.742959741,0.1053464329,0.177547404199999,17.45928021,8.43413256299999,0.4662335663
"118",1999,5.687496864,22.10618175,1.622340175,2.409309552,8.638460434,0.1069043386,0.1768740599,16.65308264,8.151952034,0.4449175634
"119",2000,5.87402167,21.33075999,1.654186577,2.467005525,8.818468888,0.1318717047,0.135015264,15.73734157,7.999489358,0.4365703408
"120",2001,6.268066844,21.86370158,1.708539549,2.972802122,8.815598751,0.1089968666,0.1459013881,13.90061057,7.643815264,0.3987919715
"121",2002,7.076115561,20.91996561,1.586068757,3.198915669,8.95062191,0.0963364171,NA,12.96255252,7.688377265,0.3445489133
"122",2003,8.005740909,20.14020201,1.657910417,3.617313484,9.729132803,0.0872983918,NA,11.99247696,7.565757968,0.3406254923
"123",2004,8.678202401,20.64314792,1.732116203,4.378354093,9.979657093,0.1012701618,NA,12.5825717399999,7.683787406,0.3279905061
"124",2005,10.4813321,20.7414402999999,1.808013488,5.124658783,10.95897561,0.113718123,NA,12.36742942,7.480327643,0.2898328191
"125",2006,11.10421343,21.0817925299999,1.881775363,6.915671595,11.04639142,0.1052296954,NA,12.41468157,7.113086448,0.2879067039
"126",2007,11.82987335,20.62862329,1.969325743,7.27583104,11.28611834,0.1068350442,NA,12.93540724,7.285384342,0.2932285964
"127",2008,12.34279393,20.7528412,2.08424371699999,7.176258421,11.81879417,0.1206918966,NA,12.52041042,6.75058507,0.2808511827
"128",2009,13.08218436,18.64015446,2.217462618,8.290054042,10.86940802,0.1019253302,NA,11.38752388,6.18417366,0.2542980839
"129",2010,14.02336172,18.84382446,2.201937414,9.12936295,12.61285431,0.09422478492,NA,12.24040812,6.108141955,0.2096467207
"130",2011,15.18892247,18.85732106,2.22065823499999,9.990823248,12.61730355,0.09411498786,NA,12.00363025,6.252312564,0.208838371
"131",2012,13.91179488,17.45342922,2.246655446,12.12075383,13.91347863,0.1017110622,NA,11.78157775,6.470076353,0.2087688589
"132",2013,14.0065076,16.80026216,2.22203756299999,13.09037667,13.63598877,0.1126198472,NA,12.11954298,6.09852979799999,0.1805643495
"133",2014,13.57209776,16.9173007399999,2.337384548,13.18822546,13.78821662,1.232746e-06,NA,12.02017243,5.956707826,0.1729541821
"134",2015,15.4835069299999,16.28500346,2.495559461,12.25259433,15.04291515,0.1957265101,0.05901123589,10.34869661,6.108664422,0.1810100871
"135",2016,14.22015541,13.13061593,2.534087316,11.39052722,15.53198763,0.194664730999999,0.06763765756,10.06650878,5.618416846,0.1763369174
